Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2023/1/4,1:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26,23.1,84,101300,0,0,433,0,0,0,0,0,0,0,60,2.1,9,9,10,4877,9,'999999999,469,0,0,88,999,0,1
2023/1/4,2:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.7,23.2,86,101200,0,0,431,0,0,0,0,0,0,0,50,2.1,9,9,10,2682,9,'999999999,469,0,0,88,999,2,1
2023/1/4,3:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,24,22.6,92,101100,0,0,421,0,0,0,0,0,0,0,360,2.1,9,9,8.5,2682,9,'999999999,450,0,0,88,999,0,1
2023/1/4,4:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,23.9,22.2,90,101100,0,0,419,0,0,0,0,0,0,0,350,2.1,9,9,10,4724,9,'999999999,440,0,0,88,999,0,1
2023/1/4,5:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,24.3,22.6,90,101000,0,0,422,0,0,0,0,0,0,0,10,2.1,9,9,10,9000,9,'999999999,450,0,0,88,999,0,1
2023/1/4,6:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,24.3,22.4,89,101100,0,0,422,0,0,0,0,0,0,0,10,2.1,9,9,10,1981,9,'999999999,450,0,0,88,999,0,1
2023/1/4,7:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,24.4,22.3,88,101200,0,0,422,0,0,0,0,0,0,0,50,2.1,9,9,10,1829,9,'999999999,440,0,0,88,999,0,1
2023/1/4,8:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,24.5,22.1,87,101200,114,1155,423,24,0,24,2709,0,3910,103,50,2.1,9,9,14,4800,9,'999999999,440,0,0,88,999,0,1
2023/1/4,9:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,24.9,22.4,86,101300,437,1411,425,40,0,40,4515,0,6282,158,340,2.6,9,9,10,3200,9,'999999999,450,0,0,88,999,0,1
2023/1/4,10:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.6,22.2,82,101300,734,1411,429,52,0,52,5913,0,7849,202,10,2.1,9,9,10,4877,9,'999999999,440,0,0,88,999,0,1
2023/1/4,11:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.8,22.8,79,101300,980,1411,437,232,10,225,25414,1110,30033,925,20,2.1,9,9,16,8100,9,'999999999,459,0,0,88,999,0,1
2023/1/4,12:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,28.1,23.4,76,101200,1159,1411,445,399,45,362,45641,3295,41664,2103,10,2.1,9,9,10,6706,9,'999999999,480,0,0,88,999,0,1
2023/1/4,13:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,28.1,23.4,76,101100,1259,1411,445,340,10,331,36933,1116,40953,1904,30,2.6,9,9,10,2865,9,'999999999,480,0,0,88,999,0.8,1
2023/1/4,14:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27,23.2,80,101100,1271,1411,451,252,5,248,27578,502,31187,1471,70,3.1,10,10,15,5400,9,'999999999,469,0,0,88,999,0,1
2023/1/4,15:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.8,23.7,78,100900,1197,1411,457,397,36,366,45540,2589,42310,2125,30,2.6,10,10,10,3200,9,'999999999,490,0,0,88,999,0,1
2023/1/4,16:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,28.4,23,73,100900,1040,1411,459,323,23,306,35153,2447,39752,1309,50,4.1,10,10,10,3200,9,'999999999,459,0,0,88,999,0,1
2023/1/4,17:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.9,23,75,100800,811,1411,456,171,2,170,18955,251,23797,664,50,4.1,10,10,14,8100,9,'999999999,459,0,0,88,999,0,1
2023/1/4,18:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.7,23.1,76,100900,527,1411,443,124,5,122,13820,530,18138,480,50,2.6,9,9,10,4419,9,'999999999,469,0,0,88,999,0,1
2023/1/4,19:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.5,23,76,100900,209,1411,441,50,65,40,5576,0,4510,180,50,4.1,9,9,10,6553,9,'999999999,459,0,0,88,999,0,1
2023/1/4,20:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.9,23.2,80,101000,3,184,438,0,0,0,53,0,53,2,50,2.6,9,9,12,9000,9,'999999999,469,0,0,88,999,0,1
